Answer,Question,
1,In 1970 demographers nearly unanimously asserted that by 2000 most of the world would be starving.,
0,In a 401k plan salary deferrals are tested by use of the ACP test,
0,"In a 401k plan, employee deferrals are tested by the ACP test",
0,"In a balanced chemical equation, the total number of moles of all the reactants is equal to the total number of moles of all the products",
1,"In a balanced equation, the total mass of the reactants is equal to the total mass of the products",
0,"In a bankruptcy proceeding all creditors must be paid an equal share of the assets available, according to the amount of debt owed.",
0,"In a chemical reaction represented by the general equation A+B==>C+D, there are four distinct mole ratios that can be written",
0,"In a chemical reaction, the products are on the left side of the arrow",
0,"In a chemical reaction, the reactant with the largest molar mass is the limiting reagent",
0,In a corporate qualified plan the assets are at risk in a corporate bankruptcy,
0,In a defined benefit plan the employee bears the investment risk,
1,In a fixed-length array the size of the array is known when the program is written,
0,"in a free economy, resources are free",
0,In a hardship withdrawal from a defined contribution retirement plan no tax is due because it is a hardship,
0,In a hardship withdrawal only ordinary income tax is paid if the distribution is made before age 59 1/2,
1,"in a homorhythmic texture, the melody and harmony move with the same rhythm",
0,"In a linear steady state, the entropy production is minimum and negative",
1,in a market economy customers and businesses operate without much government interference,
1,"in a monopoly, customers will pay a higher price because the supplier has no competition",
1,"In a non-qualified plan, the employer and employee contributions are considered corporate assets and are subject to the claims of the employer's creditors",
1,"In a perfect positive correlation, each individual obtains the same z-score on each variable",
1,"In a physiological steady state, there is constant loss of free energy, which maintains the constant concentration od substances in the system",
0,"In a plot of the normal curve, frequency is plotted on the X axis",
1,"In a positive relationship as X increases, Y increases",
1,In a post test loop the min number of times that the statements found inside of the loop are executed is one,
0,In a pretest loop the min number of times that hte loop control expression is evaluated s one,
1,"in a private enterprise economy, the government uses laws and regulations to protect society from harmful decisions made by producers and consumers",
1,"In a pure market economy, market forces coordinate production as if by an ""invisible hand.""",
1,"In a skewed to the right distribution, the mean is expected to be bigger than the median.",
1,"In a small closely held corporation, the primary reason for establishing a retirement is to benefits the owners",
1,"In a surety ship, the creditor's rights agains the principal debtor are determined primarily by the contract between them.",
0,"In a SWOT analysis, strengths and opportunities are internally focused and weaknesses and threats are externally focused",
